,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,Arizona,3,117,3656,1956,1256,211,.570,.190,.747,31.2,16.7,10.7,1.8,9.9,.130,0.3,2.1
2,2,SAC,Marvin Bagley III,Duke,3,83,2104,1205,637,78,.487,.297,.696,25.3,14.5,7.7,0.9,3.8,.086,-2.1,0.0
3,3,ATL,Luka Dončić,,3,140,4602,3478,1199,1023,.446,.316,.739,32.9,24.8,8.6,7.3,14.5,.152,6.0,9.2
4,4,MEM,Jaren Jackson Jr.,Michigan State,2,115,3137,1788,534,142,.485,.384,.757,27.3,15.5,4.6,1.2,6.8,.104,0.1,1.7
5,5,DAL,Trae Young,Oklahoma,3,149,4890,3534,590,1280,.428,.342,.849,32.8,23.7,4.0,8.6,10.1,.099,1.5,4.3
6,6,ORL,Mo Bamba,Texas,3,111,1652,624,538,82,.469,.326,.624,14.9,5.6,4.8,0.7,4.1,.120,-0.5,0.6
7,7,CHI,Wendell Carter Jr.,Duke,3,96,2611,1045,786,154,.509,.205,.751,27.2,10.9,8.2,1.6,5.7,.105,-2.1,-0.1
8,8,CLE,Collin Sexton,Alabama,3,155,5047,2921,457,463,.455,.399,.842,32.6,18.8,2.9,3.0,3.0,.028,-3.0,-1.3
9,9,NYK,Kevin Knox,Kentucky,3,148,3495,1435,540,152,.369,.338,.697,23.6,9.7,3.6,1.0,-1.0,-.013,-5.0,-2.6
10,10,PHI,Mikal Bridges,Villanova,3,163,4726,1463,599,311,.467,.355,.834,29.0,9.0,3.7,1.9,8.9,.090,-0.2,2.1
11,11,CHO,Shai Gilgeous-Alexander,Kentucky,3,159,4834,2353,676,549,.470,.348,.802,30.4,14.8,4.3,3.5,9.8,.097,0.6,3.2
12,12,LAC,Miles Bridges,Michigan State,3,153,3890,1509,738,221,.439,.330,.794,25.4,9.9,4.8,1.4,4.7,.057,-1.8,0.2
13,13,LAC,Jerome Robinson,Boston College,3,101,1365,446,176,112,.377,.319,.710,13.5,4.4,1.7,1.1,0.2,.008,-4.4,-0.8
14,14,DEN,Michael Porter Jr.,Missouri,2,59,1020,590,286,53,.516,.422,.838,17.3,10.0,4.8,0.9,3.5,.164,2.1,1.0
